"Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,13,"MARINE DEBRIS","MARIN","CA","SI","MARINE DEBRIS INGESTION; BUBBLE WRAP IN STOMACH AND DOMOIC ACID TOXICITY. ANIMAL ORIGINALLY STRANDED IN SAN LUIS OBISPO ON 1/7/18 AND RELEASED ON 1/26/18 AT CHIMNEY ROCK POINT REYES NATIONAL SEASHORE. ANIMAL WAS RESIGHTED AT DRAKES BEACH ON 2/13 AND RESTRANDED ON 2/17 IN POINT REYES NATIONAL SEASHORE. ANIMAL WAS EUTHANIZED.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,14,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,17,"SHOOTING","SAN DIEGO","CA","DEAD","UNRESPONSIVE THIN AND LETHARGIC ANIMAL FOUND ON BEACH. BULLETS FOUND UPON X-RAY IN HIS LOWER RIGHT JAW.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,21,"MARINE DEBRIS","SAN DIEGO","CA","SI","ANIMAL HAD A RUBBER BAND AROUND ITS MOUTH, SECURING THE MOUTH CLOSED. RUBBER BAND WAS REMOVED ON SITE AND THE ANIMAL WAS RELEASED IMMEDIATELY AFTER.","NSI","P7B",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,3,9,"SHOOTING","GRAYS HARBOR","WA","DEAD","PENETRATING PUNCTURE WOUNDS AT BOTH SIDES OF CHEST, ABLE TO TRACK AT LEAST ONE WOUND INTO CHEST CAVITY AND THROUGH LUNG. SMALL 1-2CM BULLET (PELLET) RECOVERED FROM INSIDE OF CHEST CAVITY.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,3,12,"OIL / TAR","LOS ANGELES","CA","SI","MALNOURISHED ANIMAL WITH OIL/TAR ON BODY. OUTCOME UNKNOWN.","SI","P9",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,3,29,"HOOK AND LINE FISHERY","ORANGE","CA","SI","EMACIATED AND DEHYDRATED ANIMAL WITH MULTIPLE FISH HOOKS. LOCATION OF HOOKS NOT REPORTED. OUTCOME UNKNOWN. BASED ON ANIMAL'S CONDITION, ASSUMPTION IS THAT HOOKS WERE LOCATED IN HEAD / MOUTH, POSSIBLY INTERFERING WITH FEEDING.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,4,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,10,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,10,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,11,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,11,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,11,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,11,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,13,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","FISHING LURE HANGING FROM MOUTH. APPEARS TO HAVE SWALLOWED HOOK. THIN. VERY ACTIVE AND AGGRESSIVE. .22 GAUGE BULLET FOUND ON X-RAY. LOCATED TO THE LEFT OF THE SPINE, MID-BODY, HALF-WAY DOWN THE BODY IN LENGTH. TWO ANIMALS DISTURBED DURING RESCUE. NO DETAILS ON WHETHER FINAL CONDITION WAS DEAD OR RELEASED POST-TREATMENT. ASSUMED TO BE A SERIOUS INJURY BASED ON DETAILS PROVIDED.","SI","P2",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,17,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,17,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,18,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,18,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,19,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,19,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,20,"HOOK AND LINE FISHERY","ORANGE","CA","SI","FISH HOOK IN RIGHT SIDE OF MOUTH. ANIMAL EMACIATED AND DEHYDRATED.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,21,"SHOOTING","CLATSOP","OR","DEAD","ANIMAL WITH EXCELLENT BODY CONDITION WITH OBVIOUS HEMORRHAGE PATTERN ON HEAD AND NECK - LIKELY SHOOTING.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,24,"CATCH SHARES BOTTOM TRAWL","OFFSHORE","OR","NSI","ANIMAL ENTANGLED IN NET, BROUGHT ON DECK AND ANIMAL EXITED VESSEL UNDER ITS OWN POWER. OBSERVER PROGRAM.","NSI","P4",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,24,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,24,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,24,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,24,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,25,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,28,"HOOK AND LINE FISHERY","ORANGE","CA","SI","EMACIATED AND DEHYDRATED ANIMAL WITH FISH HOOK IN MOUTH. OUTCOME UNKNOWN.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,4,28,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,1,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,1,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,1,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,1,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,2,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,3,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","ANIMAL KILLED IN GEAR.","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,3,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,3,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,3,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,8,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,8,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,8,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,8,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,8,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,9,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","MALNOURISHED ANIMAL DESCRIBED AS HAVING INTERACTED WITH HOOK AND LINE FISHERY. NO DETAILS ON INJURY TYPE OR SEVERITY, OR OUTCOME. ASSUMING HOOKS WERE IN OR NEAR MOUTH DUE TO CONDITION OF ANIMAL.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,9,"SHOOTING","PACIFIC","WA","DEAD","BULLET RETRIEVED FROM A SEA LION WITH EXCELLENT BODY CONDITION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,9,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","UNDERWEIGHT PUP WITH FISHING HOOK IN NOSE TRANSFERRED TO CAPTIVE DISPLAY FACILITY.","CAPTIVITY","P5B",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,9,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,11,"SHOOTING","PACIFIC","WA","DEAD","ANIMAL SHOT IN HEAD; BULLET/PELLET FRAGMENTS RETRIEVED.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,14,"SHOOTING","PACIFIC","WA","DEAD","BULLET RECOVERED FROM A SEA LION WITH EXCELLENT BODY CONDITION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,15,"AUTHORIZED MMPA SEC. 120 REMOVAL","COLUMBIA RIVER","WA","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,22,"VESSEL STRIKE","CLACKAMAS","OR","DEAD","ANIMAL HAD PROPELLER CUTS ON LATERAL MID-BODY AND ONE CUT BEING QUITE DEEP AT THE FOREFLIPPER/FOREARM; THIS DEEP CUT WAS ASSOCIATED WITH BONE DAMAGE, INFECTION, AND NECROSIS AND IS LIKELY THE CUT THAT CONTRIBUTED TO THE SEA LION'S DEATH.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,23,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","MALNOURISHED ANIMAL DESCRIBED AS HAVING INTERACTED WITH HOOK AND LINE FISHERY. NO DETAILS ON INJURY TYPE OR SEVERITY, OR OUTCOME. ASSUMING HOOKS WERE IN OR NEAR MOUTH DUE TO CONDITION OF ANIMAL.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,23,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","MALNOURISHED ANIMAL DESCRIBED AS HAVING INTERACTED WITH HOOK AND LINE FISHERY. NO DETAILS ON INJURY TYPE OR SEVERITY, OR OUTCOME. ASSUMING HOOKS WERE IN OR NEAR MOUTH DUE TO CONDITION OF ANIMAL.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,24,"SHOOTING","CLATSOP","OR","DEAD","ANIMAL WITH EXTENSIVE HEMORRHAGE CLEARLY SHOT MID-ABDOMEN. ANIMAL ALSO HAD GILLNET IN THROAT, WHICH WAS PACKED WITH PINKISH REGURGITATION.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,24,"MARINE DEBRIS","SANTA BARBARA","CA","SI","ANIMAL ENTANGLED IN LINE OF UNKNOWN TYPE, TREATED AT REHAB FACILITY.","NSI","P7B",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,25,"GILLNET FISHERY","SAN DIEGO","CA","SI","MONOFILAMENT NET AROUND NECK, TIGHTLY CUTTING INTO SKIN. 15 ANIMALS WERE DISTURBED DURING THE RESCUE. NO DETAILS ON OUTCOME.","NSI","P7B",0,"Y","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,28,"HOOK AND LINE FISHERY","ORANGE","CA","NSI","SUNKEN LEFT EYE, FISH HOOK IN CHEST AND LEFT REAR FLIPPER.","NSI","P5D",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,5,31,"HARASSMENT","SAN DIEGO","CA","SI","HUMAN-INDUCED ABANDONMENT. TEAM OBSERVED THE PUBLIC APPROACHING AND TOUCHING THE PUP ON 5/31/18. ABANDONED NEONATAL PUP. DEEMED NON-RELEASEABLE AND TRANSFERRED TO PUBLIC DISPLAY FACILITY.","CAPTIVITY","P14",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,6,1,"HOOK AND LINE FISHERY","SAN DIEGO","CA","NSI","FISHING HOOK AND LINE IN LEFT FLIPPER, REMOVED AND RELEASED ON SITE.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,6,13,"HOOK AND LINE FISHERY","ORANGE","CA","SI","UNDERWEIGHT ANIMAL WITH TREBLE HOOK IN MOUTH.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,6,14,"GILLNET FISHERY","SAN LUIS OBISPO","CA","SI","MALNOURISHED ANIMAL FOUND ON BEACH WITH GREEN NETTING AROUND NECK, PATIENT WAS LETHARGIC AND THIN WITH DIAGNOSED DOMOIC ACID TOXICITY. OUTCOME UNKNOWN.","SI","P8A",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,6,18,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,6,21,"SHOOTING","SAN DIEGO","CA","SI","EMACIATED, LETHARGIC. SUSPICIOUS WOUND ABOUT THE SIZE OF A HALF DOLLAR FOUND OVER RIGHT SHOULDER. GUNSHOT WOUND. BULLETS FOUND IN SKULL UPON XRAY PRIOR TO NECROPSY.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,6,21,"SCIENTIFIC RESEARCH","OFFSHORE","CA","DEAD","ANIMAL KILLED IN SCIENTIFIC RESEARCH TRAWL.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,6,25,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,6,27,"UNIDENTIFIED FISHERY INTERACTION","SAN LUIS OBISPO","CA","SI","ACTIVE LESION AROUND NECK SUGGESTING ENTANGLEMENT, LETHARGIC AND EMACIATED. NO OTHER DETAILS, OUTCOME UNKNOWN.","SI","P8A",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,7,2,"UNIDENTIFIED FISHERY INTERACTION","SANTA CRUZ","CA","SI","SURFERS DISTENTANGLED ANIMAL FROM GREEN NYLON NETTING. ONE SURFER WAS BITTEN. NO DETAILS ON ANIMAL'S CONDITION.","NSI","P7B",0,"Y","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,7,5,"VESSEL STRIKE","MONTEREY","CA","DEAD","POSSIBLE BOAT STRIKE - GASH ON BODY ABOVE RIGHT FLIPPER; BLOOD BY FLIPPER.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,7,6,"UNIDENTIFIED FISHERY INTERACTION","SAN DIEGO","CA","SI","ANIMAL HAD A GAFF IN HIS FACE. HE WAS POLE SEDATED, JUMPED IN THE WATER, AND SOMETIME DURING THE RESCUE EFFORTS THE GAFF FELL OFF. ANIMAL WAS RELEASED ON SITE.","SI","P9",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,7,11,"HOOK AND LINE FISHERY","SAN DIEGO","CA","DEAD","MONOFILAMENT FISHING LINE WAS WRAPPED AROUND THE NECK IN A SINGLE LOOP (NO LONG PIECES TRAILING) WITH AN ASSOCIATED LACERATION WHICH EXTENDS INTO THE MUSCLE LAYER.","DEAD",NA,1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,7,11,"UNIDENTIFIED FISHERY INTERACTION","SAN DIEGO","CA","DEAD","UNKNOWN FISHERY____MESSAGE CAME THROUGH TO NOAA WCR NMFS-LONG BEACH FROM PRIVATE CITIZEN. PHOTOS DETERMINED SPECIES, ESTIMATED LENGTH, AND HUMAN INTERACTION (LINE AROUND NECK). PHOTOS ATTACHED TO THIS RECORD.__","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,7,16,"VESSEL STRIKE","VENTURA","CA","SI","SEVERELY INJURED SEA LION WITH EXPOSED SKULL. INJURIES CONSISTENT WITH A VESSEL STRIKE.","SI","P15",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,7,19,"GILLNET FISHERY","SAN LUIS OBISPO","CA","SI","PATIENT WAS FOUND WITH MONOFILAMENT NETTING CUTTING INTO NECK, PEOPLE SURROUNDING THE PATIENT ON THE BEACH, AND ANIMAL LETHARGIC. ENTANGLEMENT FILED AWAY AT TMMC. ANIMAL ALSO HAD DOMOIC ACID TOXICITY. NO DETAILS ON OUTCOME.","SI","P8A",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,7,19,"VESSEL STRIKE","ORANGE","CA","SI","PROPELLER WOUND TO FACE, SHARK BITE ON RIGHT FLIPPER. NO DETAILS ON OUTCOME.","SI","P15",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,7,26,"UNIDENTIFIED FISHERY INTERACTION","SANTA BARBARA","CA","SI","ENTANGLEMENT SCAR AROUND HEAD, LOWER JAW AND TEETH MISSING. EUTHANIZED ON SITE.","DEAD",NA,1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,7,27,"UNIDENTIFIED FISHERY INTERACTION","VENTURA","CA","SI","ENTANGLED ANIMAL SEEN, ATTEMPTED CAPTURE FAILED BECAUSE ANIMAL SWAM AWAY. AMOUNT AND CONFIGURATION OF ENTANGLING GEAR UNKNOWN.","SI","P6",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,8,1,"HOOK AND LINE FISHERY","SAN DIEGO","CA","NSI","FISHING HOOK EMBEDDED IN REAR LEFT FLIPPER. LINE EXTENDING FROM HOOK WRAPPED AROUND NATIONAL MARINE FISHERIES SERVICE TAG ON FRONT LEFT FLIPPER. TAG REMOVED DUE TO ENTANGLEMENT AND HOOK REMOVED. RETAGGED AND RELEASED ON SITE.","NSI","P5C",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,8,1,"HARASSMENT","MONTEREY","CA","SI","_HARASSMENT_MALNUTRITION, LEPTOSPIROSIS__PATIENT FOUND LETHARGIC, UNRESPONSIVE, AND IN A BAD LOCATION. REPORTED THAT THE PATIENT WAS SHOT BY A PAINTBALL GUN AND A PASSERBY WAS FLICKING CIGARETTES AT PATIENT._LEPTOSPIROSIS_","SI","P9",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,8,2,"GILLNET FISHERY","SAN FRANCISCO","CA","DEAD","SCAR AROUND NECK FROM PREVIOUS ENTANGLEMENT. NO MONOFILAMENT PRESENT WHEN SCAR WAS EXAMINED.","DEAD",NA,1,"Y","Y"
