"","Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
"146","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2015,9,8,"UNIDENTIFIED FISHERY INTERACTION","SANTA BARBARA","CA","SI (PRORATE)","GRAY WHALE REPORTED AS ENTANGLED IN NETTING. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"147","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2015,9,26,"GILLNET FISHERY","ORANGE","CA","SI (PRORATE)","VESSEL REPORTED A GRAY WHALE ENTANGLED IN NETTING 12 MILES OFF SAN ONOFRE. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"148","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2015,12,21,"UNIDENTIFIED POT/TRAP FISHERY ENTANGLEMENT","SAN DIEGO","CA","SI (PRORATE)","ENTANGLED ON LEFT SIDE TRAILING LOBSTER-TYPE BUOY POSSIBLY ALSO ON FLUKES. GEAR CONFIGURATION UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"149","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2016,2,5,"UNIDENTIFIED FISHERY INTERACTION","ORANGE","CA","SI (PRORATE)","ENTANGLED IN ROPE,  A SINGLE WHITE BUOY. TRAVELING WITH OTHER WHALES SOUTHBOUND. GEAR CONFIGURATION AND AMOUNT UNKNOWN.","SI (PRORATE)","L10",0.75,"N","Y"
"150","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2016,3,24,"VESSEL STRIKE","SAN DIEGO","CA","DEAD","""S"" SHAPED LACERATIONS ALONG LEFT LATERAL SIDE AT ABDOMINAL (6) AND PEDUNCLE (6)INDICATE THIS ANIMAL WAS HIT BY A SHIP, ALTHOUGH IT IS NOT CLEAR IF THIS HAPPENED BEFORE OR AFTER DEATH.","DEAD","NA",1,"N","N"
"151","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2016,4,21,"UNIDENTIFIED FISHERY INTERACTION","ORANGE","CA","SI","JUVENILE OR CALF SWIMMING NORTH WITH YELLOW LINE, MULTIPLE WRAPS AROUND TAIL STOCK, OVER FLUKES, 2 WHITE BULLET BUOYS AT BASE OF TAIL STOCK, LINE TRAILING WHALE 50 FEET. EXTENSIVE WRAPS LIKELY TO BECOME CONSTRICTING AS ANIMAL GROWS.  CONFIGURATION AND AMOUNT OF GEAR UNKNOWN.","SI","L2",1,"N","Y"
"152","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2016,4,22,"UNIDENTIFIED FISHERY INTERACTION","ORANGE","CA","SI (PRORATE)","LINE WRAPPED AROUND THE BASE OF THE FLUKES; WHITE BUOY AT BASE OF TAIL, TRAILING LINE APPEARS TO BE 15-20 FEET LONG, NO FLOATS ATTACHED TO TRAILING LINE [NOT SAME WHALE AS 20160421ER, BASED OFF COMPARISON OF VIDEO TO PHOTOS, BODY SIZE, SWIMMING PATTERN, COLOR PATTERN]. ANIMAL DESCRIBED AS MOVING NORTH AT 2-3KTS AND NOT USING ITS FLUKES VERY MUCH. EVIDENCE OF CONSTRICTING ENTANGLEMENT BASED ON LIMITED USE OF FLUKES.","SI (PRORATE)","L10",0.75,"N","Y"
"153","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC - PCFG",2016,7,22,"VESSEL STRIKE","LINCOLN","OR","NSI","USCG MOTOR LIFEBOAT STRUCK A GRAY WHALE WHILE TRAVELING AT APPROXIMATELY 10 KNOTS. FOLLOWING COLLISION, WHALE POPPED ITS HEAD ABOVE THE SURFACE AND THEN DOVE.  USCG MOTOR LIFEBOATS ARE APPROXIMATELY 45 FT IN SIZE.","NSI","L6C",0,"N","N"
"154","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC - PCFG",2016,8,1,"VESSEL STRIKE","CURRY","OR","DEAD","MULTIPLE DEEP CUTS INTO LEFT THORAX AND ABDOMEN CLEARLY INDICATE PROPELLER WOUNDS. MODERATELY-DECOMPOSED CALF.","DEAD","NA",1,"N","Y"
"155","DECLINE","GRAY WHALE","EASTERN NORTH PACIFIC",2017,1,28,"DUNGENESS CRAB POT FISHERY (CALIFORNIA)","LOS ANGELES","CA","SI","TIGHT MULTIPLE WRAPS AROUND TAILSTOCK RIGHT AT THE FLUKE INSERTION WITH 3 LINES CUTTING INTO THE LEADING EDGES OF THE FLUKES AND TRAILING OVER THE TOP OF THE FLUKES. THE REST OF LINES WRAPPED AROUND PEDUNCLE GO UNDER THE TAIL AND TRAIL APPROX. 50-75 FEET BEHIND THE WHALE.  PARTIAL DISENTANGLEMENT RESCUE AND RESIGHT OF ANIMAL NEXT DAY INDICATED BUOYS HAD MOVED FURTHER BACK TOWARD TAIL. ANIMAL WAS USING ITS PECTORAL FLIPPERS FOR SWIMMING PRIMARILY. ASSIGNED SERIOUS INJURY UNDER L2 DUE TO CONSTRICTING NATURE OF GEAR REMAINING ON ANIMAL AND APPARENT INABILITY TO FULLY-UTILIZE ITS FLUKES. EVIDENCE OF HEALTH DECLINE INDICATED BY LIMITED FLUKE MOBILITY.","SI","L2",1,"Y","Y"
"156","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,1,29,"VESSEL STRIKE","ORANGE","CA","SI","A 65FT COASTAL CRUISER STRUCK A WHALE WHILE TRANSITING BETWEEN NEWPORT HARBOR AND DANA POINT HARBOR, 2 NM NW OF DANA POINT HARBOR. INJURED GRAY WHALE IS REPORTED ALIVE AND APPEARS TO HAVE THE FOLLOWING INJURIES: 3 DEEP LACERATIONS NEAR ITS PECTORAL FIN. LOTS OF BLOOD IN WATER.","SI","L6A",1,"N","Y"
"157","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,2,12,"UNIDENTIFIED FISHERY INTERACTION","SAN DIEGO","CA","SI (PRORATE)","ENTANGLED WHALE HAD WOOD-LIKE FLOAT TRAILING 30 YARDS BEHIND. WHALE BREACHING FOR 10-15 MIN BEFORE MOVING ON WITH OTHER WHALES. GEAR TYPE AND CONFIGURATION UNKNOWN.","SI (PRORATE)","L10",0.75,"N","Y"
"158","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,3,12,"UNIDENTIFIED FISHERY INTERACTION","SAN DIEGO","CA","SI (PRORATE)","FREE-SWIMMING WHALE TRAILING A SINGLE BUOY APPROXIMATELY 10 FEET BEHIND ANIMAL. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN. ANIMAL RESIGHTED NEXT DAY, 15 NMI NW OF PREVIOUS DAY'S POSITION, STILL TRAILING BUOY, NOT RAISING FLUKES ABOVE WATER DURING SEVERAL SURFACING CYCLES.","SI (PRORATE)","L10",0.75,"N","Y"
"159","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,3,19,"GILLNET FISHERY","ORANGE","CA","SI","WHALE SWIMMING WITH MASS OF BLUE ROPE, PINK GILLNET, AND BLACK FLOATS AROUND FLUKES. CLOSE-UP PHOTO SHOWS OPEN WOUND WHERE BLUE ROPE AND FLOATS ARE ATTACHED. CONSTRICTING ENTANGLEMENT. SERIOUS INJURY BECAUSE OPEN WOUND HAS POTENTIAL TO BECOME NECROTIC.","SI","L2",1,"N","Y"
"160","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,3,28,"GILLNET FISHERY","ORANGE","CA","SI (PRORATE)","PINK MONOFILAMENT NETTING ON HEAD, EXTENDING BACK PAST BLOWHOLES AND DOWN LEFT SIDE OF ANIMAL TO WATERLINE. MONOFILAMENT NETTING WOUND ON ITSELF. WHALE IS RAISING ITS FLUKES DURING DIVE CYCLES. TOTAL AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI (PRORATE)","L10",0.75,"N","Y"
"161","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,4,1,"MARINE DEBRIS","ORANGE","CA","SI","GRAY WHALE SWIMMING WITH LARGE METAL FRAME AROUND HEAD, JUST POSTERIOR TO BLOWHOLES. FRAME IS FIRMLY ATTACHED TO WHALE AND IS CONSIDERED TO BE A SERIOUS INJURY DUE TO THE CONSTRICTING NATURE OF THE ENTANGLEMENT AND PROBABILITY OF PREVENTING THE WHALE FROM FEEDING PROPERLY. WHALE RESIGHTED 9 DAYS LATER AS IT MOVED NORTH ALONG THE COAST.","SI","L2",1,"N","Y"
"162","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,4,15,"GILLNET FISHERY","ORANGE","CA","SI","BLUE LINE ON TAIL WITH KELP, 6 INCH MESH GILLNET WRAPPED AROUND TAILSTOCK AND LEADING EDGE OF FLUKE; RIGHT TIP OF FLUKE BROKEN OFF AND POSSIBLE NECROTIC TAIL. SWIMMING SLOWLY, MOSTLY WITH PECTORAL FLIPPERS, SURFACING HEADFIRST AND NO FLUKE UP DIVING. WHALE DISENTANGLEMENT TEAM REMOVED OVER 100 FEET OF GILLNET (=RESCUE). THERE IS STILL SOME WEBBING AND LINE REMAINING ON FLUKES. CONSIDERED SERIOUS INJURY DUE TO ORIGINAL AND POSSIBLY CONTINUING CONSTRICTING NATURE OF ENTANGLEMENT.","SI","L10",1,"N","Y"
"163","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,4,16,"UNIDENTIFIED FISHERY INTERACTION","LOS ANGELES","CA","SI (PRORATE)","ORANGE LINE WRAPPED AROUND CAUDAL PEDUNCLE. UNKNOWN GEAR CONFIGURATION AND AMOUNT.","SI (PRORATE)","L10",0.75,"N","Y"
"164","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,4,19,"UNIDENTIFIED FISHERY INTERACTION","SAN LUIS OBISPO","CA","SI","CALF OF PAIR ENTANGLED WITH YELLOW / ORANGE ROPE OVER BACK. WHITE LINE DRAPED OVER UPPER TAILSTOCK. GEAR AMOUNT AND CONFIGURATION UNKNOWN.","SI","L8",1,"N","Y"
"165","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,4,21,"UNIDENTIFIED FISHERY INTERACTION","ORANGE","CA","SI (PRORATE)","BLUE ROPE GEAR TRAILING 5 FEET, SMALL BLUE BUOYS. GEAR CONFIGURATION AND AMOUNT UNKNOWN.","SI (PRORATE)","L10",0.75,"N","Y"
"166","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2017,4,28,"DUNGENESS CRAB POT FISHERY (WASHINGTON)","PACIFIC","WA","DEAD","GEAR FROM MULTIPLE POTS WRAPPED AROUND CAUDAL PEDUNCLE OF DEAD, FLOATING MALE CALF OF THAT YEAR (20 FEET IN LENGTH). FISHERY SOURCE BASED ON GEAR TAGS RETRIEVED FROM WHALE. NECROPSY DETERMINED ENTANGLEMENT AS CAUSE OF DEATH.","DEAD","NA",1,"Y","Y"
"167","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC - PCFG",2017,6,12,"UNIDENTIFIED FISHERY INTERACTION","GRAYS HARBOR","WA","DEAD","SEVERE ENTANGLEMENT INJURIES ON TAILSTOCK AND FLUKE. DEEP CUTS FROM LINES ON EACH SIDE OF FLUKE INSERTION, WRAP INJURY WITH ABRAIDED TISSUE CUTTING DEEP INTO RIGHT FLUKE (2/3 TOWARD TIP). POSSIBLE IMPRESSIONS ACROSS HEAD. EVIDENCE OF CONSTRICTING ENTANGLEMENT.","DEAD","NA",1,"N","Y"
"168","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,6,15,"GILLNET FISHERY","LAKE AND PENINSULA BOROUGH","AK","SI (PRORATE)","GRAY WHALE WITH FISHING LINE ENTANGLED AROUND TAIL. IT WAS SWIMMING BUT SLOWLY NEAR FISHING BOATS BY THE MOUTH OF THE LAGOON. SMALL GRAY WHALE, POSSIBLY SUBADULT. GEAR DESCRIBED AS FISHING NET WITH BLACK FLOATS. NET WRAPPED AROUND FLUKE. ASSIGNED PRORATED SERIOUS INJURY DUE TO UNKNOWN AMOUNT AND CONFIGURATION OF GEAR.","SI (PRORATE)","L10",0.75,"N","Y"
"169","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2017,7,29,"ILLEGAL HUNT","BETHEL","AK","DEAD","KILLED AND HARVESTED BY LOCALS ON THE KUSKOWIM RIVER.","DEAD","NA",1,"N","Y"
"170","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2017,11,8,"UNIDENTIFIED FISHERY INTERACTION","VENTURA","CA","DEAD","DEAD ANIMAL WITH ROPE, NETTING AND WIRE IN MOUTH.","DEAD","NA",1,"N","Y"
"171","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2017,12,11,"GILLNET FISHERY","ORANGE","CA","SI (PRORATE)","YELLOW ROPE ON TAIL AND TRAILING 100 FEET BEHIND WHALE; RESPONSE EFFORTS CONFIRMED 8 INCH PINK MONOFILAMENT GILLNET WRAPPED AROUND TAIL, INCLUDING MULTIPLE BLACK FLOATS, YELLOW AND BLACK ROPE. ANIMAL SWIMMING SLOWLY NORTH AND DIVING. INTERVENTION RESPONSE RESULTED IN THE CUTTING AND REMOVAL OF SOME GEAR. WHALE WAS LOST AFTER THIS INTERVENTION AND REMAINING GEAR AMOUNT AND CONFIGURATION IS UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"172","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2018,1,29,"CA SWORDFISH DRIFT GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM. DEAD WHALE ENTANGLED IN LARGE-MESH DRIFT GILLNET.","DEAD","NA",1,"Y","Y"
"173","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2018,2,21,"UNIDENTIFIED FISHERY INTERACTION","ORANGE","CA","SI","LINE ENTANGLED AROUND THE BASE OF THE PEDUNCLE AND OVER THE FLUKE. LINE APPEARS TO BE CUTTING INTO PEDUNCLE TISSUE (=CONSTRICTING). REPORTING PARTY NOTED THAT LINE HAD SOME TENSION AND MAY HAVE BEEN CARRYING SOME WEIGHT. EVIDENCE OF TRAILING GEAR. ANIMAL BODY CONDITION LOOKED GOOD FROM PHOTOGRAPHS. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI","L2",1,"Y","Y"
"174","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2018,2,21,"UNIDENTIFIED FISHERY INTERACTION","MONTEREY","CA","SI (PRORATE)","SINGLE RED - ORANGE BUOY TRAILED RELATIVELY CLOSE BEHIND WHALE. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"175","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2018,3,3,"GILLNET FISHERY","VENTURA","CA","SI (PRORATE)","BLUE MESH GILLNET WRAPPED AROUND CAUDAL PEDUNCLE OF SWIMMIMG WHALE, WITH 4 TO 5 SMALL, RED BULLET BUOYS ASSOCIATED. MESH SIZE DIFFICULT TO DETERMINE AS PHOTOS WERE TAKEN FROM OBSERVER ON SHORE. GEAR AMOUNT AND CONFIGURATION UNKNOWN. .","SI (PRORATE)","L10",0.75,"Y","Y"
"176","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2018,3,18,"VESSEL STRIKE","LOS ANGELES","CA","SI","FERRY STRUCK WHAT THEY BELIEVED TO BE A GRAY WHALE MID CHANNEL ON THE WAY TO CATALINA. THE CAPTAIN SAID THAT THE WHALE SURFACED ABOUT 20 FT IN FRONT OF THE BOAT WHEN IT WAS TRAVELING AT APPROXIMATELY 25 KTS SO THERE WAS NO WAY TO STOP OR AVOID THE COLLISION. VESSEL SIZE = 134 FT. HE DID INDICATE THAT THERE WAS SOME DAMAGE TO THE BULBOUS BOW AND THAT HE BELIEVED THE WHALE WAS INJURED BUT ALIVE AFTER THE CONTACT. CATEGORIZED AS SERIOUS INJURY BASED ON SIZE AND SPEED OF VESSEL.","SI","L6A",1,"N","Y"
"177","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2018,3,26,"VESSEL STRIKE","SAN DIEGO","CA","DEAD","ORGANS PROTRUDING THROUGH LACERATION AT RIGHT DORSAL SIDE AT MID-LENGTH. FRACTURED VERTEBRAE AND BONE FRAGMENTS IN THIS REGION. UNKNOWN IF THIS VESSEL STRIKE REPRESENTS SAME ANIMAL STRUCK OFF CATALINA ISLAND ON 3/18/2018. TREATED AS UNIQUE RECORD.","DEAD","NA",1,"N","Y"
"178","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2018,3,28,"MARINE DEBRIS","MARIN","CA","DEAD","OBSERVED FLOATING IN RICHARDSON BAY MARCH 28 2018. FLUKES AND DISTAL PENDUNCLE MISSING. WITHIN A PORTION OF GRAY NECROTIC TISSUE IS A 6-INCH LENGTH OF WIRE WITH A COPPER CORE, DEEPLY ENTWINED WITH THE NECROTIC TISSUE. THIS REFLECTS EVIDENCE OF A CONSTRICTING ENTANGLEMENT.","DEAD","NA",1,"N","Y"
"179","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2018,4,13,"DUNGENESS CRAB POT FISHERY (WASHINGTON)","PACIFIC","WA","SI","WHALE HAD BEEN SIGHTED ALIVE NINE DAYS PRIOR TO STRANDING RESPONSE. WHALE ENTANGLED IN WASHINGTON DUNGENESS CRAB POT GEAR IDENTIFIED BY TAG NUMBERS RECOVERED AT SCENE. BUOY AT LEFT MOUTH, LINE THROUGH MOUTH CIRCLING RIGHT FLIPPER ACROSS BACK TO LEFT PEDUNCLE (THIS IS THE CONFIGURATION FOUND WHEN THE ANIMAL STRANDED DEAD ONSHORE, LIKELY DIFFERENT WHEN THE ANIMAL WAS ALIVE). BRUISING AROUND PEDUNCLE WHICH MAY SUGGEST IT WAS ENTANGLED AT SOME POINT IN TIME. CAUSE OF DEATH LISTED AS INANATION (=STARVATION).","DEAD","NA",1,"N","Y"
"180","DECLINE","GRAY WHALE","EASTERN NORTH PACIFIC",2018,4,13,"DUNGENESS CRAB POT FISHERY (WASHINGTON)","SNOHOMISH","WA","SI (PRORATE)","BUOY AND LINE ENTERING MOUTH LEFT SIDE AND EXITING MOUTH RIGHT SIDE. THIS TRAILS TO A SECOND BUOY JUST IN FRONT OF THE FLUKES.  THEY ARE BOTH TRAILER BUOYS PART OF THE SURFACE SYSTEM OF A CRAB SET. LINE 3/8"" POSSIBLY BLUE STEEL. GEAR IDENTIFIED AS PART OF WASHINGTON COMMERCIAL DUNGENESS CRAB FISHERY.  TEAM SUCCESSFULLY ATTACHED A TELEMETRY BUOY AND COLLECTED UNDERWATER FOOTAGE. RESPONDER RETRIEVED OUR GRAPPLE, OUR LINE AND TELEMETRY BUOY AND ONE OF THE ENTANGLING FLOATS FROM ANOTHER VESSEL. THIS MEANS THE WHALE IS PARTIALLY DISENTANGLED. UNKNOWN AMOUNT AND CONFIGURATION OF GEAR REMAINING ON WHALE. PHOTOS OF WHALE SHOW A VERY EMACIATED ANIMAL THAT EXHIBITS A HEALTH DECLINE. SERIOUS INJURY PRORATED TO A VALUE OF 1 DUE TO DETERIORATING HEALTH.","SI (PRORATE)","L10",1,"Y","Y"
"181","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2018,4,15,"GILLNET FISHERY","SAN DIEGO","CA","SI (PRORATE)","GILLNET ON THE HEAD AND DOWN ALONG THE BODY, WITH A MASS OF GILLNET ON OR NEAR THE TAIL. SINGLE PHOTO SHOWS MASS OF PINK MONOFILAMENT GILLNET EXTENDING FROM HEAD REGION TO DORSAL HUMP. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN. WHALE REPORTED SWIMMING TO THE NORTHWEST.","SI (PRORATE)","L10",0.75,"Y","Y"
"182","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2018,4,24,"GILLNET FISHERY","ORANGE","CA","SI","GILLNET (PINK MESH, 1/2 GREEN ROPE,  20 SMALL RED/ORANGE FLOATS) WRAPPED AROUND PEDUNCLE AND TRAILING OVER LEFT FLUKE LOBE. MOST OF THE GEAR IS BUNCHED UP IN A TIGHT BALL AROUND THE PEDUNCLE, CLOSE TO THE ANIMAL AND FAIRLY TIGHT AROUND PEDUNCLE (=CONSTRICTING GEAR). THERE IS ALSO SOME TRAILING GEAR (TANGLED UP MESH AND PROBABLY A LEAD LINE) TRAILING ABOUT 20FT BEHIND WHALE. THE TRAILING GEAR IS ALWAYS BELOW THE SURFACE. SO LIKELY THE TRAILING GEAR IS WEIGHTED SOMEHOW OR BEEN FOULED UP ALONG THE WAY. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI","L2",1,"Y","Y"
"183","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2018,5,4,"VESSEL STRIKE","ALAMEDA","CA","DEAD","NECROPSY RESULTS INDICATED A FRACTURED CRANIUM AND MUSCULAR AND SKELETAL HEMORRHAGING. CONSISTENT WITH BLUNT FORCE TRAUMA CHARACTERISTIC OF A VESSEL STRIKE.","DEAD","NA",1,"N","Y"
"184","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2018,5,6,"DUNGENESS CRAB POT FISHERY (CALIFORNIA)","SAN LUIS OBISPO","CA","DEAD","PHOTOS FROM 5/6/2018 SHOWS A SINGLE ORANGE BUOY NEXT TO A HEAVILY-SCAVENGED GRAY WHALE CARCASS. BUOY NUMBER OBTAINED AND FISHERMAN INTERVIEWED. FISHERMAN INDICATED HIS GEAR WAS NOT TOUCHING WHALE AND FISHERMAN REMOVED GEAR FROM AREA AFTER SEEING PHOTOS OF WHALE. NO EXPLICIT PHOTO EVIDENCE THAT BUOY OR LINE IS ATTACHED TO CARCASS, HOWEVER, HARBOR PATROL WENT TO SAME EXACT LOCATION THE NEXT DAY AND FOUND THE CARCASS UNMOVED, INDICATING IT WAS ANCHORED BY SOMETHING. BUOY WAS NO LONGER VISIBLE ON 5/7/2018.","DEAD","NA",1,"Y","Y"
"185","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2018,5,8,"DUNGENESS CRAB POT FISHERY (WASHINGTON)","CLALLAM","WA","SI","ANCHORED WHALE WITH LINE WRAPPED AROUND THE PEDUNCLE AND BOTH FLUKE BLADES WITH THREE FLOATS AND LINE TRAILING TO APPROXIMATELY 60’ BEHIND THE WHALE. TEAM WAS ABLE TO CUT MOST LINE AWAY BUT SEVERAL WRAPS REMAINED AROUND NECROTIC TISSUE AT CAUDAL PEDUNCLE. THIS WHALE WAS FOUND DEAD STRANDED ON MAY 27TH.","DEAD","NA",1,"N","Y"
"186","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC",2018,5,11,"SALMON GILLNET FISHERY (ALASKA)","CORDOVA","AK","SI (PRORATE)","WHALE ENTANGLED IN SALMON GILLNET. VISIBLE BLOOD FLOW. GEAR AMOUNT AND CONFIGURATION UNKNOWN. OUTCOME UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"187","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2018,5,17,"VESSEL STRIKE","SANTA CRUZ","CA","DEAD","PROPELLER WOUNDS NEAR TAIL.","DEAD","NA",1,"N","Y"
"188","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2018,5,18,"VESSEL STRIKE","MARIN","CA","DEAD","PALE DISCOLORED BAND OF SKIN AROUND THE NECK APPROX. 20 CMS WIDE, BLUBBER BENEATH THIS DISCOLORED AREA HAS SMALL PATCHES OF HEMORRHAGE. THE LEFT AXILLA HAS A LACERATION AROUND THE FLIPPER BASE, WITH DISCOLORED MUSCLE AND EDEMA BENEATH IT. SKIN OF THE LEFT FLIPPER IS DRY AND MISSING IN MULTIPLE PLACES. LEFT COMMISSURE OF THE MOUTH HAS A PALE LINEAR MARK IN IT, AND IS COVERED IN LICE. RIGHT SIDE OF THE WHALE HAS TWO LONG PARALLEL LACERATIONS, ONE PENETRATES SCAPULA WHICH SHATTERED (MULTIPLE FRACTURES, COMMINUTED FRACTURES), OTHER IS THROUGH BLUBBER AND MUSCLE. THERE IS NO HEMORRHAGE OR DISCOLORATION OF BLUBBER OR MUSCLE ADJACENT TO THESE LACERATIONS. THERE ARE MULTIPLE LINEAR MARKS ON THE SKIN TYPICAL OF ABRASION BY A BRAIDED LINE. NECROPSY REPORT INDICATED THAT VESSEL STRIKE WAS PRIMARY CAUSE OF DEATH (COMPARED WITH ENTANGLEMENT EVIDENCE), AS CONDITION OF ANIMAL IS GOOD (ADEQUATE BODY FAT STORES) AND STOMACH WAS FULL.","DEAD","NA",1,"N","Y"
"189","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC",2018,5,27,"UNIDENTIFIED POT/TRAP FISHERY ENTANGLEMENT","PACIFIC","WA","DEAD","LINE WRAPPED TIGHTLY AROUND LEFT PECTORAL FLIPPER AND PASSES THROUGHT LEFT GAPE. EVIDENCE OF A WRAP AROUND THROAT (BLOATING LIKELY CAUSED ROPE TO SNAP--FRAYED ENDS VISIBLE). GREEN, ORANGE, AND WHITE LINES WRAPPED AROUND TAILSTOCK. FAINT IMPRESSIONS ACROSS VENTRAL LEFT FLUKE. TRAILING 2 CRAB POTS. ORIGINALLY SEEN WITH 2 ORANGE BUOYS (WHILE FLOATING), ONE VISIBLE IN INITIAL PHOTOS OF THE BEACH LANDING, BUT HAD BEEN REMOVED BY UNKNOWN PERSONS PRIOR TO OUR ARRIVAL ON SCENE.","DEAD","NA",1,"Y","Y"
"190","UNKNOWN","GRAY WHALE","EASTERN NORTH PACIFIC - PCFG",2018,6,6,"DUNGENESS CRAB POT FISHERY (WASHINGTON)","LINCOLN","OR","SI (PRORATE)","ENTANGLEMENT LOCATED ON THE CENTER OF THE BODY AND ON THE TAIL WHILE TRAILING TWO BUOYS AND CRAB POT GEAR. COMMERCIAL DUNGENESS CRAB GEAR WAS IDENTIFIED BY THE ROUND YELLOW TAG ON ONE BUOY BUT THE PHOTO QUALITY WAS POOR SO A NUMBER COULD NOT BE READ TO GET A FISHERMAN ID. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"191","DEAD","GRAY WHALE","EASTERN NORTH PACIFIC - PCFG",2018,6,28,"VESSEL STRIKE","GRAYS HARBOR","WA","SI","EMACIATED WHALE LIVE-STRANDED AND SUBSEQUENTLY DIED. LARGE AREA OF ABRASION (116X30CM) ON LEFT DORSAL AND ACROSS BACK, JUST ANTERIOR TO HUMP, WITH MISSING SKIN AND NECROSIS AT MARGINS, VISIBLE BRUISING UNDER WIDEST POINT OF MISSING SKIN. ABRAIDED SKIN ON UPPER RIGHT SIDE AT SAME LEVEL AS LARGER ABRASION. WHALE LICE ALL OVER BODY, INCLUDING DORSAL SURFACE OF FLUKE (UNUSUAL, SUSPECT UNABLE TO LIFT FLUKES PROPERLY). AT LEAST 4 SHATTERED VERTEBRAE AT SITE, APPROXIMATELY 1 MONTH'S WORTH OF HEALING IN TISSUES. AREAS OF INTERNAL INFECTION AT TRAUMA SITE. SUSPECT ANIMAL HIT BY SHIP, WITH SUBSEQUENT INFECTION, EMACIATION AND LIVE STRANDING.","DEAD","NA",1,"N","Y"
